dataset_label;details;plz;ort;adresse;titel;preis;wohnflaeche;roi_s;roi_i;tage_online;hausgeld;zustand;trend;cashflow;link_immometrica;online_bucket;liquiditaets_malus;audit_kategorie;manual_review_required;manual_review_reason
Hannover;https://www.immometrica.com/de/offer/27174904;30449;Hannover;Ihmeplatz 1, 30449 Hannover;Charmante 1-Zimmerwohnung an der Ihme.;49000.0;31.34;10.0;;57.0;273.0;Gepflegt;-;442.88;https://www.immometrica.com/de/offer/27174904;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27127531;30559;Hannover;Georg-Büchner-Str. 23, 30559 Hannover;Hannover-Anderten: 2-Zimmer-Wohnung mit West-Loggia und viel Tageslicht;129000.0;53.13;6.0;;60.0;305.0;Gepflegt;-;315.21;https://www.immometrica.com/de/offer/27127531;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/26953836;30659;Hannover;Metzhof 3, 30659 Hannover;"ANGEBOTSVERFAHREN:
Dinner for one";68000.0;37.0;8.4;;76.0;199.0;Vollständig renoviert;-;435.05;https://www.immometrica.com/de/offer/26953836;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/26330898;30916;Isernhagen F. B.;An der Riehe 100, 30916, Isernhagen;Charmantes 2 Zimmer, Wohnung mit Potenzial in gefragter Lage von Altwarmbüchen!;142000.0;55.38;5.8;4.6;127.0;187.0;Modernisiert;gesunken;313.13;https://www.immometrica.com/de/offer/26330898;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27161194;31275;Lehrte;31275 Niedersachsen - Lehrte 31275 Niedersachsen - Lehrte;2 Zimmer Wohnung Eigentumswohnung mit Loggia – Kapitalanlage oder Perspektive;100000.0;63.0;7.3;4.0;58.0;329.0;Gepflegt;-;394.5;https://www.immometrica.com/de/offer/27161194;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/24486651;30457;Wettbergen;Berliner Str. 17, 30457 Hannover;Schöne Zwei-Zimmer Wohnung im beliebten Stadtteil Wettbergen mit Balkon und Panoramablick;139000.0;57.4;5.7;3.9;290.0;252.0;Gepflegt;-;280.95;https://www.immometrica.com/de/offer/24486651;>180 Tage;-30;Altinserat-Risiko: sehr lange online;True;stale_listing_risk
Hannover;https://www.immometrica.com/de/offer/26567000;30451;Linden-Nord;Stärkestr. 16, 30451 Hannover;Eigentumswohnung mit Balkon und Aufzug in Linden-Nord;125000.0;58.7;6.7;;110.0;;Modernisiert;-;365.45;https://www.immometrica.com/de/offer/26567000;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/26625176;30853;Alt-Langenhagen;Im Hohen Felde 15, 30853 Langenhagen;Wohnen oder vermieten!;119000.0;47.21;6.1;;104.0;265.0;Gepflegt;gesunken;310.09;https://www.immometrica.com/de/offer/26625176;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/27293854;30657;Bothfeld;30657 Hannover - Bothfeld-Vahrenheide 30657 Hannover - Bothfeld-Vahrenheide;kleine, feine Kapitalanlage mit Fernblick;125000.0;57.0;6.5;;47.0;325.0;Gepflegt;-;358.04;https://www.immometrica.com/de/offer/27293854;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27613290;31303;Burgdorf;31303 Niedersachsen - Burgdorf 31303 Niedersachsen - Burgdorf;Gepflegte 2-Zimmer-Wohnung mit Balkon und Blick ins Grüne in Burgdorf;109900.0;53.5;6.2;;18.0;262.0;Saniert;-;328.36;https://www.immometrica.com/de/offer/27613290;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27727469;30457;Wettbergen;30457 Wettbergen, Hannover;Kapitalanlage in Wettbergen: vermietete 1,5 Zimmerwohnung mit Loggia;95000.0;39.0;6.2;4.6;7.0;224.0;Vollständig renoviert;-;321.66;https://www.immometrica.com/de/offer/27727469;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/27015947;30539;Bemerode;Bemeroder Anger 17, 30539 Hannover;Selbst gestalten: 2 Zimmer mit Balkon in Hannover-Bemerode;135000.0;63.0;6.2;;70.0;329.86;Gepflegt;-;308.68;https://www.immometrica.com/de/offer/27015947;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/23814589;30880;Alt-Laatzen;Flemingstr. 2, 30880 Laatzen;Sofort wohlfühlen: 2-Zi.-ETW im beliebten Laatzen-Mitte;125000.0;58.6;6.5;;356.0;358.0;Gepflegt;gesunken;326.42;https://www.immometrica.com/de/offer/23814589;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/27559121;30559;Hannover;Kötnerhof 12, 30559 Hannover;Helle 2-Zimmer-Erdgeschosswohnung in Hannover-Anderten;150000.0;65.0;5.6;4.8;22.0;340.0;Saniert;-;234.27;https://www.immometrica.com/de/offer/27559121;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/26795490;30890;Barsinghausen;Berliner Str. 5, 30890 Barsinghausen;Schicke 2 Zi. Whg./Nähe Bahnhof/Zentrum;110000.0;60.0;6.6;;91.0;300.0;Gepflegt;gesunken;340.55;https://www.immometrica.com/de/offer/26795490;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/27596303;30657;Hannover;Odenwaldstr. 5, 30657 Hannover;2-Zimmer-Wohnung mit wunderschönem Panoramablick;110000.0;61.0;6.6;5.3;19.0;273.0;Renovierungsbedürftig;-;345.55;https://www.immometrica.com/de/offer/27596303;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/26748834;30449;Linden-Süd;30449 Linden-Süd, Hannover;Ideale Studentenwohnung in zentraler Lage von Hannover-Linden;75000.0;30.0;6.8;3.5;94.0;;Gepflegt;-;353.58;https://www.immometrica.com/de/offer/26748834;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/27711167;31832;Springe;Alter Sportplatz 8, 31832, Springe;Wohnen mit Charakter: 2-Zimmer-Wohnung in Springe mit Küche, Bad und Loggia;119500.0;64.0;6.3;;9.0;;Neuwertig;-;338.56;https://www.immometrica.com/de/offer/27711167;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/27556049;30657;Hannover;Hägewiesen 120, 30657 Hannover;Vermietete 2-Zimmer-Maisonettewohnung – Kapitalanlage in Hannover-Sahlkamp;125000.0;62.42;6.0;5.5;23.0;416.67;Gepflegt;-;252.25;https://www.immometrica.com/de/offer/27556049;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27186940;30163;Hannover;30163 Hannover;! Provisionsfrei! Vermietete 2 Zi.-Wohnung in bester Lage mit Balkon und Tageslichtbad.;142000.0;53.0;5.5;;56.0;132.0;Gepflegt;-;312.25;https://www.immometrica.com/de/offer/27186940;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/26355234;30177;List;Hinrichsring 12, 30177 Hannover;Bald bezugsfrei: Helle Zweizimmerwohnung nahe Mittellandkanal in Hannover zu verkaufen!;110000.0;59.0;6.9;5.9;125.0;379.0;Gepflegt;gestiegen;349.55;https://www.immometrica.com/de/offer/26355234;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/27605869;31303;Burgdorf;Depenauerweg 38, 31303 Burgdorf;Gepflegte 2-Zimmer-Wohnung mit Balkon und Blick ins Grüne in Burgdorf;109900.0;53.5;6.3;;18.0;262.0;Vollständig renoviert;-;325.02;https://www.immometrica.com/de/offer/27605869;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/26210423;30177;Hannover;Hinrichsring 15A, 30177 Hannover;Kapitalanlage in Toplage: Vermietete Eigentumswohnung am Mittellandkanal in Hannover-List;125000.0;64.0;6.7;3.4;138.0;381.0;Gepflegt;gesunken;349.57;https://www.immometrica.com/de/offer/26210423;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/27759512;31832;Springe;31832 Springe;2-Zimmer-Wohnung mit Aufzug - modernisiert, sofort bezugsfähig & ausbaufähig;80000.0;54.1;7.0;;6.0;;Gepflegt;-;352.77;https://www.immometrica.com/de/offer/27759512;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/26760964;30629;Hannover;Engelsburg 1, 30629 Hannover;* Attraktives Anlageobjekt in H-Misburg * - vermietete 2-Zimmer-Wohnung mit Balkon;127000.0;64.0;6.4;4.3;92.0;290.0;Gepflegt;-;341.23;https://www.immometrica.com/de/offer/26760964;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/27753297;30451;Linden-Nord;30451 Linden-Nord, Hannover;Zwei-Zimmer-Wohnung in Linden als Kapitalanlage;129000.0;57.0;6.2;4.1;5.0;491.0;Gepflegt;-;258.02;https://www.immometrica.com/de/offer/27753297;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/26115366;30853;Alt-Langenhagen;30853, Langenhagen;Helles 2-Zimmer-Apartment mit Balkon in gepflegtem Mehrfamilienhaus;139000.0;52.0;5.4;;145.0;256.0;Modernisiert;gesunken;242.95;https://www.immometrica.com/de/offer/26115366;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27031880;30179;Sahlkamp;Sahlkamp 21, 30179 Hannover;Kapitalanlage oder Eigenheim: Renovierungsbedürftige 2-Zimmer-Wohnung mit Charme in Hannover!;99000.0;52.0;6.7;;70.0;286.74;Renovierungsbedürftig;-;338.32;https://www.immometrica.com/de/offer/27031880;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/21068810;30890;Barsinghausen;Allerweg 1, 30890 Barsinghausen;!! Provisionsfrei !!Schicke 2 Zi.ETW/3 WE/ effiziente neue Heizung/Garten/ca. 18 km bis Hannover;98000.0;65.0;6.7;;625.0;;Gepflegt;-;355.42;https://www.immometrica.com/de/offer/21068810;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/27707169;30880;Alt-Laatzen;30880, Laatzen;Gepflegte 2-Zimmer-Wohnung mit hellen Räumlichkeiten in ruhiger Lage;95000.0;44.86;5.8;;9.0;;Gepflegt;-;284.66;https://www.immometrica.com/de/offer/27707169;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/27049357;30952;Ronnenberg;30952 Niedersachsen - Ronnenberg 30952 Niedersachsen - Ronnenberg;Charmante 2 Zimmer Eigentumswohnung mit Balkon in Ronnenberg/OT;108000.0;54.0;6.2;;69.0;;Modernisiert;-;330.83;https://www.immometrica.com/de/offer/27049357;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
