dataset_label;details;plz;ort;adresse;titel;preis;wohnflaeche;roi_s;roi_i;tage_online;hausgeld;zustand;trend;cashflow;link_immometrica;online_bucket;liquiditaets_malus;audit_kategorie;manual_review_required
Leipzig;https://www.immometrica.com/de/offer/21353310;4329;Leipzig;Maulwurfweg 3, 04329 Leipzig;Schöne Eigentumswohnung in gefragter Wohnlage mit Balkon / Tiefgarage und Parkanlage;99000.0;44.3;5.7;4.0;598.0;250.0;Gepflegt;gesunken;272.17;https://www.immometrica.com/de/offer/21353310;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/20173878;4356;Leipzig;04356 Leipzig - Seehausen 04356 Leipzig - Seehausen;Gemütliche 1,5-Zimmer-Wohnung mit Balkon und Einbauküche in grüner Wohnanlage;79000.0;31.0;5.7;2.6;716.0;174.0;Gepflegt;gesunken;290.73;https://www.immometrica.com/de/offer/20173878;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27777459;4159;Leipzig;Am Meilenstein 20, 04159 Leipzig;Vermietete, gepflegte ETW für Anleger in Vorstadtlage;119000.0;64.45;5.7;3.4;3.0;302.95;Gepflegt;-;255.61;https://www.immometrica.com/de/offer/27777459;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/22432315;4249;Großzschocher;Buttergasse 10a, 04249 Großzschocher, Leipzig;* schicke ETW  * am grünen Gürtel * Balkon * Außenrollos * TG-Stellplatz *;135000.0;66.5;5.7;4.4;489.0;474.38;Neuwertig;gesunken;205.56;https://www.immometrica.com/de/offer/22432315;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/26450615;4158;Wiederitzsch;04158 Leipzig - Wiederitzsch 04158 Leipzig - Wiederitzsch;4,24 % RENDITE | Vermietete 2-Raum-Wohnung mit Balkon & TG-Stellplatz;123000.0;60.0;5.7;;119.0;304.0;Gepflegt;gesunken;273.4;https://www.immometrica.com/de/offer/26450615;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27603793;4288;Holzhausen;04288 Leipzig - Holzhausen 04288 Leipzig - Holzhausen;++ Faktor 23, 1.954 EUR / m², PKW-Stellplatz, Balkon! 2-Zimmer Wohnung in Leipzig-Holzhausen ++;129000.0;66.0;5.7;;20.0;241.0;Gepflegt;-;292.52;https://www.immometrica.com/de/offer/27603793;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/20932775;4158;Leipzig;Außenring 34, 04158 Leipzig;LOHNENSWERTES INVESTMENT MIT 4,24 % RENDITE // Vermietete 2-Raum-Wohnung mit Balkon & TG-Stellplatz;123000.0;60.0;5.7;4.6;639.0;304.0;Gepflegt;gesunken;253.1;https://www.immometrica.com/de/offer/20932775;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/21230610;4178;Böhlitz-Ehrenberg;Leipziger Str. 113, 04178 Leipzig (Böhlitz-Ehrenberg);Nette Mieter seit 1996 - Preis inkl. TG-Stellplatz - sehr gute Infrastruktur - gepflegte 2-Raum-WE mit Balkon, Aufzug und Tiefgarage;122000.0;56.3;5.6;4.0;610.0;282.0;Gepflegt;gesunken;272.88;https://www.immometrica.com/de/offer/21230610;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/26623371;4288;Leipzig;Hauptstr. 48G, 04288 Leipzig;** Attraktive Einheit in sehr gutem Zustand - flexibel nutzbar **;79500.0;36.1;5.6;;105.0;198.0;Modernisiert;gesunken;287.24;https://www.immometrica.com/de/offer/26623371;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27204090;4275;Leipzig;Altenburger Str. 4, 04275 Leipzig;SÜDVORSTADT. SINGLE(T)RAUM am Rande des Impulses. LIFT. gr. BALKON. amerikan. Küche. TGLB mit WANNE;100000.0;42.0;5.6;;55.0;;Saniert;-;264.54;https://www.immometrica.com/de/offer/27204090;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/26207675;4157;Leipzig;Wilhelm-Plesse-Str. 27, 04157 Leipzig;Attraktive 2 Zimmer Eigentumswohnung mit Balkon in Gohlis;149000.0;66.5;5.6;3.5;139.0;302.63;Vollständig renoviert;-;247.31;https://www.immometrica.com/de/offer/26207675;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27690659;4299;Stötteritz;Oberdorfstraße 28a, 04299 Stötteritz, Leipzig;Vermietete Kapitalanlage mit Stellplatz in Leipzig-Stötteritz – sichere Rendite in ruhiger Lage;110000.0;51.59;5.6;5.7;12.0;250.0;Saniert;-;269.26;https://www.immometrica.com/de/offer/27690659;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/26624510;4179;Neulindenau;Gröpplerstraße 83, 04179 Leipzig (Neulindenau);/ solide Kapitalanlage * 2- Raum Wohnung mit Balkon in beliebter Lage / vermietet;105000.0;50.7;5.6;4.0;105.0;277.0;Gepflegt;-;250.4;https://www.immometrica.com/de/offer/26624510;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27042028;4318;Anger-Crottendorf;Theodor-Neubauer-Straße 29, 04318 Anger-Crottendorf, Leipzig;Großzügige 1-Zimmerwohnung in Anger-Crottendorf;95000.0;47.44;5.5;3.0;69.0;220.0;Gepflegt;-;264.68;https://www.immometrica.com/de/offer/27042028;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/24273512;4178;Böhlitz-Ehrenberg;Pestalozzistr. 70, 04178 Leipzig (Böhlitz-Ehrenberg);Single-Wohnung - frei zum Top-Preis - barrierefrei erreichbar mit Aufzug, Tiefgaragenplatz - kleiner Balkon - selbst einziehen oder vermieten?;95000.0;41.0;5.5;2.0;310.0;197.0;Gepflegt;gesunken;284.81;https://www.immometrica.com/de/offer/24273512;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/24945214;4159;Leipzig;Laubestr. 1, 04159 Leipzig;Vermietete 1-Raumwohnung mit Balkon!;90000.0;39.52;5.5;4.0;247.0;202.13;Gepflegt;-;255.43;https://www.immometrica.com/de/offer/24945214;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27481815;4179;Neulindenau;04179 Leipzig - Neulindenau 04179 Leipzig - Neulindenau;/ solide Kapitalanlage * 2- Raum Wohnung mit Balkon in beliebter Lage / vermietet;105000.0;50.67;5.5;;30.0;277.0;Gepflegt;-;261.02;https://www.immometrica.com/de/offer/27481815;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/26789890;4288;Liebertwolkwitz;04288 Leipzig - Liebertwolkwitz 04288 Leipzig - Liebertwolkwitz;Attraktive 2-Zimmer-Kapitalanlage mit Balkon und Stellplatz in Leipzig-Liebertwolkwitz;95000.0;46.15;5.5;3.7;91.0;;Gepflegt;-;267.81;https://www.immometrica.com/de/offer/26789890;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/15315328;4158;Wiederitzsch;Martinshöhe 8A, 04158 Leipzig;RUHIGES APPARTEMENT MIT BALKON UND TG IN WIEDERITZSCH...;114500.0;51.3;5.5;4.8;1249.0;315.0;Gepflegt;gesunken;232.36;https://www.immometrica.com/de/offer/15315328;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27354968;4357;Mockau-Süd;04357 Leipzig - Mockau-Süd 04357 Leipzig - Mockau-Süd;Kapitalanlage mit Potenzial | Vermietete 2-Zimmer-Erdgeschosswohnung in Leipzig;99000.0;50.5;5.5;2.8;41.0;215.0;Gepflegt;-;276.9;https://www.immometrica.com/de/offer/27354968;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27582892;4329;Heiterblick;Maulwurfweg 3, 04329 Heiterblick, Leipzig;Kapitalanlage mit Seltenheitswert - vermietet seit 1995 & Tiefgaragenstellplatz inklusive!!!;112000.0;52.9;5.5;4.7;21.0;367.12;Gepflegt;-;215.01;https://www.immometrica.com/de/offer/27582892;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27354894;4179;Leutzsch;04179 Leutzsch, Leipzig;Gemütliche Maisonettewohnung | Balkon | Einbauküche | Duplex-Stellplatz;119000.0;53.0;5.4;3.8;41.0;199.0;Gepflegt;-;262.61;https://www.immometrica.com/de/offer/27354894;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/26787910;4288;Leipzig;Brunnenstr. 11, 04288 Leipzig;Attraktive 2-Zimmer-Kapitalanlage mit Balkon und Stellplatz in Leipzig-Liebertwolkwitz;95000.0;46.15;5.4;3.7;91.0;;Gepflegt;-;249.68;https://www.immometrica.com/de/offer/26787910;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/26582683;4159;Möckern;Kirschbergstraße  49, 04159 Möckern, Leipzig;***Charmante 2-Raum-Wohnung mit Balkon & Laminat im 3. OG *** WE 09***;103900.0;49.93;5.4;5.6;108.0;271.46;Saniert;gesunken;256.49;https://www.immometrica.com/de/offer/26582683;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/23814618;4158;Wiederitzsch;04158 Wiederitzsch, Leipzig;RENDITE VON 4,54 % SICHERN | 2 Zimmer mit Balkon, Einbauküche und TG-Stellplatz;127000.0;58.17;5.4;4.5;356.0;225.0;Gepflegt;gesunken;249.59;https://www.immometrica.com/de/offer/23814618;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27786209;4179;Leutzsch;04179 Leipzig (Leutzsch);vermietete 2-Zimmer-Wohnung mit Balkon (A1726);129900.0;56.6;5.4;;2.0;;Modernisiert;-;252.49;https://www.immometrica.com/de/offer/27786209;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27428946;4288;Leipzig;Walter-Markov-Ring 23, 04288 Leipzig;Bezugsfrei! Helle 2-Zimmer-Wohnung mit Terrasse, TG-Stellplatz & Blick ins Grüne;138000.0;55.0;5.4;;34.0;219.0;Gepflegt;-;252.11;https://www.immometrica.com/de/offer/27428946;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/24703587;4178;Böhlitz-Ehrenberg;Leipziger Str. 115, 04178 Leipzig (Böhlitz-Ehrenberg);Wunderschöne bezugsfertige 2-R-WE mit großem Balkon, Abstellraum, Bad mit Wanne, 1. OG, barrierefrei erreichbar, Aufzug, TG;134000.0;58.4;5.4;;269.0;284.0;Gepflegt;gesunken;249.12;https://www.immometrica.com/de/offer/24703587;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27752227;4318;Anger-Crottendorf;04318 Anger-Crottendorf, Leipzig;Vermietete 2-Zimmer-Erdgeschosswohnung mit Balkon;120000.0;60.0;5.4;4.0;6.0;323.97;Gepflegt;-;213.03;https://www.immometrica.com/de/offer/27752227;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27079723;4288;Liebertwolkwitz;04288 Liebertwolkwitz, Leipzig;Charmante Maisonette-Dachgeschosswohnung mit Balkon und Tiefgaragen-Stellplatz;100000.0;48.0;5.4;4.7;65.0;202.0;Gepflegt;-;252.58;https://www.immometrica.com/de/offer/27079723;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27790955;4229;Leipzig;Nonnenstr. 5, 04229 Leipzig;Kapitalanlage in Bestlage: Vermietetes Elster-Idyll zum Spitzenpreis - inkl. TG Stellplatz;150000.0;58.0;5.4;3.4;2.0;266.0;Gepflegt;-;231.15;https://www.immometrica.com/de/offer/27790955;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/26779399;4357;Leipzig;Lilienthalstr. 4, 04357 Leipzig;Kapitalanlage mit gesichertem Mietverhältnis: 2-Raumwohnung in Leipzig-Mockau;115000.0;57.48;5.4;3.9;92.0;185.0;Gepflegt;-;260.12;https://www.immometrica.com/de/offer/26779399;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/26783080;4357;Mockau-Nord;04357 Leipzig - Mockau-Nord 04357 Leipzig - Mockau-Nord;Kapitalanlage mit gesichertem Mietverhältnis: 2-Raumwohnung in Leipzig-Mockau;115000.0;57.48;5.4;;92.0;185.0;Gepflegt;-;277.23;https://www.immometrica.com/de/offer/26783080;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27512955;4347;Schönefeld-Abtnaundorf;Ploßstraße 46, 04347 Schönefeld-Abtnaundorf, Leipzig;Charmante Kapitalanlage mit Balkon & Garten;119500.0;54.58;5.4;4.4;27.0;373.0;Gepflegt;-;200.31;https://www.immometrica.com/de/offer/27512955;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27027860;4179;Neulindenau;Lützner Straße 151, 04179 Leipzig (Neulindenau);// 2-Raum ETW mit Balkon, EBK und TG-Stellplatz // vermietet;99000.0;44.6;5.4;3.6;70.0;178.0;Gepflegt;gesunken;265.17;https://www.immometrica.com/de/offer/27027860;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27776585;4319;Althen-Kleinpösna;04319 Althen-Kleinpösna, Leipzig;Sofort beziehbar I Balkon I PKW-Stellplatz I ruhige Lage;89900.0;43.0;5.4;;3.0;188.48;Vollständig renoviert;-;262.29;https://www.immometrica.com/de/offer/27776585;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27730635;4178;Burghausen-Rückmarsdorf;04178 Leipzig - Burghausen-Rückmarsdorf 04178 Leipzig - Burghausen-Rückmarsdorf;Vermietete 2-Zi.-Whng. Balkon, Fahrstuhl, TG in Leipzig;128000.0;59.2;5.4;0.5;8.0;;Gepflegt;-;226.96;https://www.immometrica.com/de/offer/27730635;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/16798679;4329;Paunsdorf;Hermelinplatz 10, 04329 Heiterblick, Leipzig;Langfristige Mieteinnahmen: Exklusive 2-Zimmer-Wohnung mit solventer Mieterin!!!;140000.0;62.23;5.4;3.5;1064.0;319.36;Gepflegt;-;214.43;https://www.immometrica.com/de/offer/16798679;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27646692;4157;Leipzig;Adolph-Menzel-Str. 38, 04157 Leipzig;Eigentumswohnung in hervorragender Mikrolage von Leipzig;149000.0;58.0;5.4;;15.0;;Vollständig renoviert;-;227.38;https://www.immometrica.com/de/offer/27646692;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/17565630;4249;Großzschocher;Bismarckstr. 29, 04249 Leipzig;ERSTKLASSIGE RENDITE FÜR IHR PORTFOLIO! // Vermietete 2-Raum-Wohnung mit Terrasse;130000.0;64.8;5.4;4.5;965.0;343.92;Gepflegt;gesunken;208.7;https://www.immometrica.com/de/offer/17565630;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/26438503;4319;Althen-Kleinpösna;Saxoniastraße 23, 04319 Althen-Kleinpösna, Leipzig;Sofort beziehbar I Balkon I PKW-Stellplatz I ruhige Lage;89900.0;43.0;5.4;5.5;120.0;188.48;Vollständig renoviert;gesunken;275.28;https://www.immometrica.com/de/offer/26438503;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27042746;4178;Leipzig;04178 Leipzig;Rentables Schmuckstück 4 % Rendite, moderne 2 Zimmer, großer Balkon, Aufzug, TG, beliebte Wohnlage;128000.0;54.57;5.3;4.0;69.0;;Gepflegt;-;228.96;https://www.immometrica.com/de/offer/27042746;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/22736222;4159;Möckern;Toskastr. 10 d, 04159 Leipzig (Möckern);TOP Apartment mit Weitblick - EBK, Balkon, inkl. TG-Stellplatz, vermietet;94500.0;44.1;5.3;4.1;461.0;;Gepflegt;gesunken;244.0;https://www.immometrica.com/de/offer/22736222;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/26789908;4288;Liebertwolkwitz;04288 Leipzig - Liebertwolkwitz 04288 Leipzig - Liebertwolkwitz;Gepflegte Eigentumswohnung mit zwei Balkonen und Stellplatz in Leipzig-Liebertwolkwitz;135000.0;66.06;5.3;;91.0;;Gepflegt;-;235.65;https://www.immometrica.com/de/offer/26789908;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27582966;4179;Neulindenau;04179 Leipzig - Neulindenau 04179 Leipzig - Neulindenau;// 2-Raum ETW mit Balkon, EBK und TG-Stellplatz // vermietet;99000.0;44.59;5.3;;21.0;178.0;Gepflegt;-;276.9;https://www.immometrica.com/de/offer/27582966;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/22621360;4249;Großzschocher;Buttergasse 10a, 04249 Großzschocher, Leipzig;* ETW  * vermietet * Balkon * Außenrollos * TG-Stellplatz *;95000.0;42.1;5.3;4.9;471.0;337.12;Neuwertig;gesunken;214.68;https://www.immometrica.com/de/offer/22621360;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27648943;4315;Neustadt-Neuschönefeld;04315 Neustadt-Neuschönefeld, Leipzig;ZWISCHEN STADTLEBEN UND PARKIDYLLE | 2024 modernisierte 2-Raum-Wohnung mit Südbalkon;145000.0;61.7;5.3;;15.0;364.0;Vollständig renoviert;-;197.28;https://www.immometrica.com/de/offer/27648943;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27661601;4159;Möckern;Knopstraße 15, 04159 Möckern, Leipzig;Attraktive 2-Zimmer-Wohnung mit Balkon – Renditestarke Kapitalanlage mit Stellplatz;109000.0;48.0;5.3;4.1;14.0;210.0;Gepflegt;-;248.89;https://www.immometrica.com/de/offer/27661601;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/24276302;4178;Leipzig;Eschenweg 2, 04178 Leipzig;NEUBAU * SINGLE-(T)Raum * gemütlicher BALKON  * tw. LAMINAT * amerikan. EBK * DUSCHE * TIEFGARAGE ..;75000.0;31.28;5.3;;310.0;;Neuwertig;gesunken;258.24;https://www.immometrica.com/de/offer/24276302;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/26552573;4159;Möckern;Knopstraße 15, 04159 Leipzig (Möckern);Attraktive 2-Zimmer-Wohnung mit Balkon - Renditestarke Kapitalanlage mit Stellplatz;109000.0;48.0;5.3;3.6;111.0;210.0;Gepflegt;gesunken;247.0;https://www.immometrica.com/de/offer/26552573;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27511428;4229;Leipzig;Ernst-Mey-Str. 7A, 04229 Leipzig;Über 4% Rendite in Top- Lage, Perfekte Kapitalanlage im begehrten Stadtteil Leipzig Plagwitz;103000.0;37.0;5.3;;27.0;;Gepflegt;-;246.66;https://www.immometrica.com/de/offer/27511428;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/26471488;4178;Böhlitz-Ehrenberg;Pestalozzistr. 68, 04178 Leipzig (Böhlitz-Ehrenberg);2024 umfangreich renovierte 2-RWE, Balkon, barrierefrei erreichbar, Aufzug, aktuell gut vermietet;115000.0;48.6;5.3;4.2;118.0;211.0;Gepflegt;gesunken;263.23;https://www.immometrica.com/de/offer/26471488;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/21019841;4158;Leipzig;Außenring 32, 04158 Leipzig;INVESTIEREN SIE CLEVER // Über 4,54 % Rendite // 2 Zimmer mit Balkon, Einbauküche und TG-Stellplatz;127000.0;58.2;5.3;4.5;630.0;225.0;Gepflegt;gesunken;238.59;https://www.immometrica.com/de/offer/21019841;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27430517;4357;Mockau-Süd;04357 Leipzig - Mockau-Süd 04357 Leipzig - Mockau-Süd;2-Raumwohnung im Nordosten von Leipzig;120000.0;59.07;5.3;;34.0;306.0;Gepflegt;-;233.83;https://www.immometrica.com/de/offer/27430517;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27650423;4159;Wahren;Nernststr. 2, 04159 Leipzig;Denkmalgerecht sanierte 2-Zimmer-Wohnung mit Balkon und historischem Charme;120000.0;56.0;5.3;4.6;15.0;264.0;Saniert;-;228.98;https://www.immometrica.com/de/offer/27650423;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/18993542;4288;Leipzig;Alte Gärtnerei 4, 04288 Leipzig;Gepflegte Eigentumswohnung mit zwei Balkonen und Stellplatz in Leipzig-Liebertwolkwitz;135000.0;66.1;5.3;;835.0;2408.0;Gepflegt;gesunken;-417.44;https://www.immometrica.com/de/offer/18993542;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/26786578;4288;Leipzig;Alte Gärtnerei 4, 04288 Leipzig;Gepflegte Eigentumswohnung mit zwei Balkonen und Stellplatz in Leipzig-Liebertwolkwitz;135000.0;66.06;5.3;;91.0;;Gepflegt;-;210.56;https://www.immometrica.com/de/offer/26786578;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27778784;4319;Althen-Kleinpösna;04319 Leipzig - Althen-Kleinpösna 04319 Leipzig - Althen-Kleinpösna;Sofort beziehbar I Balkon I PKW-Stellplatz I ruhige Lage;89900.0;43.0;5.3;;3.0;189.0;Vollständig renoviert;-;269.66;https://www.immometrica.com/de/offer/27778784;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27429906;4357;Mockau-Nord;Kieler Straße 49, 04357 Mockau-Nord, Leipzig;2-Raumwohnung im Nordosten von Leipzig;120000.0;59.1;5.3;4.3;34.0;306.0;Gepflegt;-;202.08;https://www.immometrica.com/de/offer/27429906;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/25422884;4329;Heiterblick;Maulwurfweg 5, 04329 Heiterblick, Leipzig;Exklusive Kapitalanlage: 2-Raumwohnung in Heiterblick mit viel Potenzial und Top-Infrastruktur!;110000.0;48.85;5.3;4.3;219.0;368.01;Gepflegt;-;199.99;https://www.immometrica.com/de/offer/25422884;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27776813;4177;Altlindenau;Uhlandstr. 23, 04177 Altlindenau, Leipzig;Gepflegte 2-Zimmer-DG-Wohnung mit Balkon in attraktiver Denkmalimmobilie in Leipzig-Altlinenau;117800.0;52.0;5.3;3.4;3.0;;Saniert;-;228.96;https://www.immometrica.com/de/offer/27776813;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27088327;4107;Leipzig;Hohe Str. 24, 04107 Leipzig;Apartment in Zentraler Lage zur Kapitalanlage;110000.0;36.0;5.3;3.7;65.0;219.88;Gepflegt;-;240.26;https://www.immometrica.com/de/offer/27088327;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27567138;4159;Möckern;Christian-Ferkel-Str. 5, 04159 Leipzig;Denkmalschutz: Gut sanierte 2-Zimmer-Erdgeschosswohnung im aufstrebenden Möckern zu erwerben;110000.0;0.0;5.2;;22.0;277.0;Modernisiert;-;221.26;https://www.immometrica.com/de/offer/27567138;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27408848;4179;Leipzig;Bischofstr. 23A, 04179 Leipzig;Großzügige 2-Raum-Wohnung mit Dachterrasse und Tiefgarage in ruhiger Lage;148000.0;65.81;5.2;3.6;36.0;;Gepflegt;-;199.4;https://www.immometrica.com/de/offer/27408848;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/20173879;4356;Leipzig;04356 Leipzig - Seehausen 04356 Leipzig - Seehausen;Stilvoll Wohnen in Leipzig-Seehausen: Zwei-Zimmer-Wohnung mit Balkon, EBK, Tiefgarage und Aufzug;126000.0;54.0;5.2;4.4;716.0;317.0;Gepflegt;gesunken;221.96;https://www.immometrica.com/de/offer/20173879;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/26370722;4229;Leipzig;Wigandstr. 34, 04229 Leipzig;++ Parkett, Balkon, Badewanne & Dusche! Charmante 2-Zimmer Wohnung im Leipziger Westen ++;147000.0;64.4;5.2;3.8;125.0;199.0;Gepflegt;gesunken;232.03;https://www.immometrica.com/de/offer/26370722;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27104265;4229;Kleinzschocher;Wigandstr. 34, 04229 Leipzig;++ Parkett, Balkon, Badewanne & Dusche! Charmante 2-Zimmer Wohnung im Leipziger Westen ++;147000.0;64.42;5.2;3.8;63.0;199.0;Gepflegt;-;230.03;https://www.immometrica.com/de/offer/27104265;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27082393;4159;Wahren;04159 Leipzig / Wahren (Wahren);Top vermietete Eigentumswohnung inkl. TG-Stellplatz;109000.0;49.0;5.2;;65.0;;Gepflegt;-;223.89;https://www.immometrica.com/de/offer/27082393;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/18343393;4357;Mockau-Nord;Mockauer Straße 55, 04357 Mockau-Süd, Leipzig;Hübsche 2-Raum-Wohnung mit Balkon zu verkaufen;140000.0;65.0;5.2;;897.0;454.0;Neuwertig;-;176.25;https://www.immometrica.com/de/offer/18343393;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27415536;4249;Großzschocher;Bismarckstr. 27, 04249 Großzschocher, Leipzig;Traumhafte DG-Wohnung: 2 Zimmer, große Dachterrasse & einzigartiges Wohngefühl;145000.0;64.09;5.2;;35.0;354.67;Gepflegt;-;183.28;https://www.immometrica.com/de/offer/27415536;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/26749257;4315;Leipzig;Lilienstr. 24, 04315 Leipzig;Vermietete 2-Zimmer-Wohnung mit Terrasse im kernsanierten Denkmalobjekt;92000.0;40.7;5.2;3.9;94.0;169.0;Gepflegt;-;248.5;https://www.immometrica.com/de/offer/26749257;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27232211;4328;Leipzig;Robert-Mayer-Str. 2, 04328 Leipzig;Attraktive vermietete Eigentumswohnung mit Balkon in Leipzig-Paunsdorf;105000.0;46.6;5.2;3.3;52.0;253.64;Saniert;-;226.9;https://www.immometrica.com/de/offer/27232211;14–60 Tage;-5;prüfen;False
